day,case,weight,calories_burned,bmr
181,rigorous exercise,199.99036596511837,333.5335818339377,1612.9085595398337
182,rigorous exercise,199.8951160425633,333.3747289427702,1612.4763000177768
183,rigorous exercise,199.79991148493218,333.2159517088751,1612.044246369067
184,rigorous exercise,199.70475227061897,333.05725009621875,1611.6123984956523
185,rigorous exercise,199.60963837802788,332.898624068785,1611.1807562995277
186,rigorous exercise,199.51456978557343,332.74007359057464,1610.7493196827345
187,rigorous exercise,199.4195464716804,332.58159862560547,1610.3180885473612
188,rigorous exercise,199.32456841478387,332.4231991379129,1609.8870627955423
189,rigorous exercise,199.22963559332914,332.264875091549,1609.4562423294597
190,rigorous exercise,199.13474798577184,332.1066264505831,1609.025627051341
191,rigorous exercise,199.03990557057782,331.9484531791019,1608.595216863461
192,rigorous exercise,198.9451083262232,331.7903552412088,1608.1650116681408
193,rigorous exercise,198.85035623119433,331.6323326010243,1607.7350113677485
194,rigorous exercise,198.75564926398783,331.4743852226865,1607.3052158646974
195,rigorous exercise,198.6609874031106,331.31651307035014,1606.8756250614488
196,rigorous exercise,198.5663706270797,331.15871610818715,1606.4462388605098
197,rigorous exercise,198.47179891442244,331.0009943003864,1606.0170571644335
198,rigorous exercise,198.3772722436764,330.8433476111541,1605.58807987582
199,rigorous exercise,198.28279059338934,330.6857760047132,1605.1593068973161
200,rigorous exercise,198.18835394211925,330.52827944530384,1604.730738131614
201,rigorous exercise,198.09396226843435,330.3708578971834,1604.3023734814528
202,rigorous exercise,197.99961555091303,330.2135113246257,1603.8742128496183
203,rigorous exercise,197.9053137681439,330.05623969192214,1603.4462561389414
204,rigorous exercise,197.8110568987258,329.899042963381,1603.018503252301
205,rigorous exercise,197.71684492126772,329.7419211033273,1602.5909540926202
206,rigorous exercise,197.62267781438882,329.58487407610335,1602.1636085628702
207,rigorous exercise,197.52855555671852,329.42790184606827,1601.7364665660675
208,rigorous exercise,197.43447812689635,329.2710043775982,1601.3095280052753
209,rigorous exercise,197.34044550357203,329.1141816350864,1600.8827927836019
210,rigorous exercise,197.24645766540547,328.95743358294277,1600.4562608042027
211,rigorous exercise,197.15251459106673,328.8007601855944,1600.0299319702792
