day,case,weight,calories_burned,bmr
188,moderate exercise,208.45435807202117,173.78329108198102,1666.0941913599304
189,moderate exercise,208.4047175271709,173.7419069759591,1665.8689682146878
190,moderate exercise,208.35508880353518,173.7005327249941,1665.6437987032473
191,moderate exercise,208.30547189829898,173.65916832673926,1665.4186828128354
192,moderate exercise,208.25586680864788,173.61781377884824,1665.1936205306843
193,moderate exercise,208.20627353176818,173.57646907897532,1664.9686118440268
194,moderate exercise,208.15669206484682,173.53513422477528,1664.7436567401005
195,moderate exercise,208.1071224050714,173.49380921390355,1664.5187552061452
196,moderate exercise,208.05756454963026,173.4524940440161,1664.2939072294039
197,moderate exercise,208.00801849571232,173.41118871276936,1664.0691127971227
198,moderate exercise,207.95848424050723,173.3698932178205,1663.844371896551
199,moderate exercise,207.90896178120528,173.32860755682705,1663.6196845149407
200,moderate exercise,207.85945111499743,173.28733172744722,1663.3950506395472
201,moderate exercise,207.80995223907533,173.24606572733978,1663.1704702576283
202,moderate exercise,207.7604651506313,173.20480955416394,1662.9459433564457
203,moderate exercise,207.71098984685827,173.16356320557966,1662.7214699232636
204,moderate exercise,207.6615263249499,173.12232667924727,1662.497049945349
205,moderate exercise,207.61207458210052,173.08109997282776,1662.2726834099726
206,moderate exercise,207.5626346155051,173.0398830839826,1662.0483703044079
207,moderate exercise,207.51320642235927,172.99867601037397,1661.8241106159312
208,moderate exercise,207.46378999985936,172.95747874966443,1661.5999043318216
209,moderate exercise,207.41438534520236,172.91629129951718,1661.375751439362
210,moderate exercise,207.3649924555859,172.87511365759605,1661.151651925838
211,moderate exercise,207.31561132820832,172.83394582156524,1660.9276057785378
212,moderate exercise,207.2662419602686,172.79278778908966,1660.703612984753
213,moderate exercise,207.21688434896635,172.75163955783472,1660.4796735317782
214,moderate exercise,207.16753849150192,172.7105011254664,1660.2557874069112
215,moderate exercise,207.1182043850763,172.6693724896512,1660.0319545974526
216,moderate exercise,207.06888202689115,172.62825364805624,1659.808175090706
217,moderate exercise,207.01957141414877,172.58714459834914,1659.584448873978
218,moderate exercise,206.97027254405214,172.54604533819813,1659.3607759345787
219,moderate exercise,206.9209854138049,172.50495586527194,1659.1371562598206
220,moderate exercise,206.8717100206114,172.46387617723988,1658.9135898370191
221,moderate exercise,206.8224463616766,172.42280627177178,1658.6900766534932
222,moderate exercise,206.77319443420618,172.3817461465381,1658.466616696565
223,moderate exercise,206.7239542354064,172.34069579920978,1658.243209953559
224,moderate exercise,206.6747257624843,172.2996552274584,1658.0198564118034
225,moderate exercise,206.62550901264743,172.25862442895595,1657.7965560586285
226,moderate exercise,206.57630398310417,172.21760340137513,1657.5733088813686
227,moderate exercise,206.5271106710635,172.17659214238913,1657.3501148673604
228,moderate exercise,206.47792907373503,172.13559064967168,1657.126974003944
229,moderate exercise,206.42875918832905,172.09459892089708,1656.903886278462
230,moderate exercise,206.37960101205655,172.0536169537402,1656.6808516782605
231,moderate exercise,206.33045454212916,172.01264474587634,1656.4578701906885
232,moderate exercise,206.28131977575916,171.97168229498163,1656.2349418030979
233,moderate exercise,206.2321967101595,171.93072959873243,1656.0120665028435
234,moderate exercise,206.18308534254385,171.88978665480587,1655.7892442772836
235,moderate exercise,206.13398567012646,171.84885346087958,1655.5664751137788
236,moderate exercise,206.0848976901223,171.80793001463172,1655.3437589996936
237,moderate exercise,206.03582139974694,171.76701631374104,1655.1210959223947
238,moderate exercise,205.9867567962167,171.72611235588676,1654.898485869252
239,moderate exercise,205.9377038767485,171.68521813874872,1654.675928827639
240,moderate exercise,205.8886626385599,171.64433366000733,1654.453424784931
241,moderate exercise,205.83963307886924,171.60345891734352,1654.2309737285077
242,moderate exercise,205.7906151948954,171.56259390843877,1654.0085756457509
243,moderate exercise,205.741608983858,171.52173863097508,1653.7862305240455
244,moderate exercise,205.69261444297723,171.48089308263516,1653.5639383507798
245,moderate exercise,205.64363156947405,171.440057261102,1653.3416991133447
246,moderate exercise,205.59466036057003,171.3992311640594,1653.119512799134
247,moderate exercise,205.5457008134874,171.35841478919156,1652.8973793955456
248,moderate exercise,205.49675292544907,171.31760813418327,1652.6752988899789
249,moderate exercise,205.4478166936786,171.27681119671993,1652.453271269837
250,moderate exercise,205.39889211540017,171.23602397448744,1652.231296522526
251,moderate exercise,205.3499791878387,171.19524646517218,1652.009374635455
252,moderate exercise,205.3010779082197,171.1544786664612,1651.7875055960362
253,moderate exercise,205.2521882737694,171.113720576042,1651.5656893916844
254,moderate exercise,205.20331028171466,171.0729721916028,1651.343926009818
255,moderate exercise,205.154443929283,171.03223351083216,1651.1222154378577
256,moderate exercise,205.1055892137026,170.99150453141928,1650.9005576632276
257,moderate exercise,205.05674613220228,170.95078525105393,1650.6789526733548
258,moderate exercise,205.00791468201157,170.91007566742647,1650.4574004556694
259,moderate exercise,204.95909486036066,170.86937577822766,1650.2359009976044
260,moderate exercise,204.91028666448034,170.828685581149,1650.014454286596
261,moderate exercise,204.8614900916021,170.7880050738824,1649.7930603100826
262,moderate exercise,204.81270513895805,170.7473342541204,1649.571719055507
263,moderate exercise,204.76393180378105,170.70667311955597,1649.3504305103138
264,moderate exercise,204.7151700833045,170.66602166788277,1649.1291946619508
265,moderate exercise,204.66641997476256,170.62537989679495,1648.9080114978692
266,moderate exercise,204.61768147539,170.5847478039872,1648.686881005523
267,moderate exercise,204.56895458242224,170.54412538715474,1648.4658031723689
268,moderate exercise,204.5202392930954,170.5035126439935,1648.2447779858671
269,moderate exercise,204.4715356046462,170.46290957219964,1648.0238054334807
270,moderate exercise,204.42284351431206,170.4223161694702,1647.802885502675
271,moderate exercise,204.37416301933106,170.38173243350258,1647.5820181809195
272,moderate exercise,204.3254941169419,170.34115836199476,1647.3612034556857
273,moderate exercise,204.276836804384,170.30059395264524,1647.1404413144485
274,moderate exercise,204.2281910788974,170.2600392031532,1646.9197317446858
275,moderate exercise,204.17955693772277,170.21949411121827,1646.6990747338787
276,moderate exercise,204.13093437810147,170.17895867454058,1646.4784702695106
277,moderate exercise,204.08232339727553,170.13843289082087,1646.2579183390683
278,moderate exercise,204.0337239924876,170.09791675776046,1646.037418930042
279,moderate exercise,203.98513616098103,170.05741027306115,1645.8169720299238
280,moderate exercise,203.93655989999976,170.0169134344253,1645.5965776262099
281,moderate exercise,203.88799520678847,169.97642623955585,1645.3762357063988
282,moderate exercise,203.83944207859244,169.93594868615625,1645.1559462579926
283,moderate exercise,203.7909005126576,169.8954807719306,1644.9357092684954
284,moderate exercise,203.74237050623057,169.85502249458338,1644.715524725415
285,moderate exercise,203.69385205655863,169.8145738518197,1644.4953926162618
286,moderate exercise,203.64534516088966,169.77413484134522,1644.2753129285497
287,moderate exercise,203.59684981647226,169.7337054608662,1644.0552856497955
288,moderate exercise,203.54836602055565,169.69328570808932,1643.835310767518
289,moderate exercise,203.49989377038972,169.65287558072188,1643.6153882692404
290,moderate exercise,203.451433063225,169.61247507647175,1643.3955181424876
291,moderate exercise,203.40298389631272,169.57208419304735,1643.1757003747884
292,moderate exercise,203.35454626690466,169.53170292815753,1642.9559349536744
293,moderate exercise,203.30612017225337,169.49133127951183,1642.7362218666794
294,moderate exercise,203.257705609612,169.45096924482021,1642.5165611013413
295,moderate exercise,203.20930257623434,169.41061682179338,1642.2969526452
296,moderate exercise,203.16091106937486,169.3702740081423,1642.077396485799
297,moderate exercise,203.1125310862887,169.32994080157863,1641.8578926106843
298,moderate exercise,203.0641626242316,169.2896171998147,1641.6384410074056
299,moderate exercise,203.01580568046003,169.2493032005632,1641.4190416635147
300,moderate exercise,202.96746025223104,169.20899880153738,1641.1996945665667
301,moderate exercise,202.91912633680232,169.1687040004511,1640.98039970412
302,moderate exercise,202.8708039314323,169.1284187950188,1640.7611570637353
303,moderate exercise,202.82249303338003,169.0881431829553,1640.541966632977
304,moderate exercise,202.77419363990518,169.04787716197615,1640.3228283994117
305,moderate exercise,202.7259057482681,169.00762072979734,1640.10374235061
306,moderate exercise,202.67762935572978,168.96737388413544,1639.8847084741442
307,moderate exercise,202.62936445955185,168.92713662270754,1639.6657267575902
308,moderate exercise,202.58111105699663,168.88690894323128,1639.4467971885272
309,moderate exercise,202.53286914532708,168.84669084342488,1639.2279197545367
310,moderate exercise,202.4846387218068,168.80648232100705,1639.0090944432036
311,moderate exercise,202.43641978370002,168.76628337369704,1638.7903212421156
312,moderate exercise,202.38821232827166,168.72609399921475,1638.5716001388632
313,moderate exercise,202.3400163527873,168.68591419528045,1638.3529311210402
314,moderate exercise,202.29183185451313,168.64574395961515,1638.1343141762432
315,moderate exercise,202.24365883071602,168.6055832899402,1637.9157492920715
316,moderate exercise,202.19549727866345,168.5654321839776,1637.697236456128
317,moderate exercise,202.1473471956236,168.52529063944996,1637.4787756560174
318,moderate exercise,202.0992085788653,168.48515865408027,1637.2603668793486
319,moderate exercise,202.051081425658,168.44503622559216,1637.0420101137329
320,moderate exercise,202.0029657332718,168.40492335170987,1636.8237053467847
321,moderate exercise,201.95486149897746,168.364820030158,1636.6054525661207
322,moderate exercise,201.90676872004641,168.32472625866185,1636.3872517593618
323,moderate exercise,201.85868739375073,168.2846420349472,1636.1691029141305
324,moderate exercise,201.81061751736308,168.24456735674036,1635.9510060180532
325,moderate exercise,201.76255908815688,168.20450222176822,1635.732961058759
326,moderate exercise,201.7145121034061,168.1644466277582,1635.5149680238796
327,moderate exercise,201.6664765603854,168.12440057243822,1635.29702690105
328,moderate exercise,201.6184524563701,168.08436405353677,1635.0791376779082
329,moderate exercise,201.57043978863618,168.04433706878288,1634.8613003420946
330,moderate exercise,201.5224385544602,168.00431961590618,1634.6435148812536
331,moderate exercise,201.47444875111944,167.96431169263667,1634.4257812830315
332,moderate exercise,201.4264703758918,167.92431329670512,1634.2080995350777
333,moderate exercise,201.37850342605583,167.88432442584264,1633.990469625045
334,moderate exercise,201.33054789889076,167.84434507778104,1633.7728915405892
335,moderate exercise,201.2826037916764,167.80437525025255,1633.5553652693684
336,moderate exercise,201.23467110169327,167.76441494099004,1633.337890799044
337,moderate exercise,201.1867498262225,167.72446414772676,1633.1204681172808
338,moderate exercise,201.13883996254586,167.68452286819672,1632.9030972117453
339,moderate exercise,201.09094150794581,167.64459110013428,1632.685778070108
340,moderate exercise,201.04305445970544,167.60466884127445,1632.468510680042
341,moderate exercise,200.9951788151085,167.5647560893527,1632.251295029224
342,moderate exercise,200.9473145714393,167.52485284210516,1632.034131105332
343,moderate exercise,200.89946172598295,167.48495909726836,1631.8170188960487
344,moderate exercise,200.85162027602507,167.44507485257947,1631.5999583890587
345,moderate exercise,200.803790218852,167.4052001057761,1631.3829495720497
346,moderate exercise,200.75597155175066,167.3653348545965,1631.1659924327125
347,moderate exercise,200.70816427200873,167.32547909677942,1630.949086958741
348,moderate exercise,200.66036837691442,167.28563283006417,1630.7322331378316
349,moderate exercise,200.61258386375664,167.2457960521905,1630.5154309576837
350,moderate exercise,200.56481072982496,167.20596876089886,1630.2986804060001
351,moderate exercise,200.51704897240955,167.16615095393007,1630.081981470486
352,moderate exercise,200.46929858880125,167.1263426290257,1629.8653341388497
353,moderate exercise,200.42155957629157,167.0865437839275,1629.6487383988024
354,moderate exercise,200.3738319321726,167.04675441637823,1629.4321942380584
355,moderate exercise,200.32611565373713,167.0069745241208,1629.2157016443348
356,moderate exercise,200.27841073827858,166.9672041048988,1628.9992606053515
357,moderate exercise,200.23071718309103,166.9274431564564,1628.7828711088316
358,moderate exercise,200.18303498546916,166.88769167653828,1628.566533142501
359,moderate exercise,200.13536414270834,166.8479496628896,1628.3502466940881
360,moderate exercise,200.08770465210455,166.80821711325606,1628.134011751325
361,moderate exercise,200.04005651095443,166.76849402538403,1627.9178283019462
362,moderate exercise,199.99241971655528,166.72878039702027,1627.7016963336891
363,moderate exercise,199.944794266205,166.68907622591212,1627.4856158342945
364,moderate exercise,199.8971801572022,166.64938150980745,1627.2695867915058
365,moderate exercise,199.84957738684608,166.60969624645477,1622.0536091930692
366,moderate exercise,199.80198595243647,166.57002043360296,1621.8376830267339
367,moderate exercise,199.7544058512739,166.53035406900148,1621.6218082802518
368,moderate exercise,199.7068370806595,166.49069715040045,1621.4059849413784
369,moderate exercise,199.65927963789508,166.4510496755504,1621.1902129978716
370,moderate exercise,199.61173352028302,166.4114116422024,1620.974492437492
371,moderate exercise,199.56419872512643,166.37178304810809,1620.7588232480039
372,moderate exercise,199.516675249729,166.3321638910197,1620.5432054171733
373,moderate exercise,199.46916309139507,166.29255416868986,1620.3276389327707
374,moderate exercise,199.42166224742968,166.2529538788719,1620.112123782568
375,moderate exercise,199.37417271513846,166.21336301931944,1619.896659954341
376,moderate exercise,199.32669449182765,166.17378158778698,1619.681247435868
